status,name,file_number,inactivationDate,registrationData,struck_off_date,jurisdiction
active,Schumm PLC,1186052,1999-10-21,evolve one-to-one supply-chains,1974-07-12,kCXO
active,"Medhurst, Robel and Funk",6,1988-07-07,whiteboard collaborative metrics,1990-07-05,WzrN
inactive,Toy-Kerluke,93666,1989-07-30,innovate bricks-and-clicks info-mediaries,1991-12-03,GEAr
active,Lueilwitz-Kozey,269905271,1983-08-27,expedite seamless methodologies,2001-05-07,YtJg
inactive,Legros-Prosacco,966208,2010-01-13,facilitate clicks-and-mortar ROI,2009-04-30,NpPX
inactive,Wolff-Medhurst,963,2004-03-07,harness interactive initiatives,1988-03-03,mDhq
active,Hammes-Pagac,911,1988-01-02,transition B2B platforms,2004-11-30,XcSN
active,Swift Inc,914514101,2008-09-16,cultivate front-end applications,1982-07-03,xFbT
inactive,"Smitham, VonRueden and Ryan",8004285,1992-06-19,monetize e-business synergies,2005-11-30,klOr
active,Jaskolski-Dickinson,28853919,1998-02-15,target granular networks,1999-01-13,bvkz
active,"Tremblay, Grady and Parker",3117,1980-01-05,engage impactful infrastructures,2006-02-11,yDOF
inactive,Roberts Inc,637,2014-02-18,transition magnetic partnerships,2002-09-27,HgUV
inactive,"Christiansen, Johnston and Abbott",49618,1979-05-26,incubate viral e-markets,1987-06-25,scOV
active,Upton Group,6582164,2003-03-14,architect scalable ROI,2011-11-24,MqYi
active,"Padberg, Yost and Hyatt",20761,1973-09-11,e-enable extensible e-services,1982-02-21,hFET
active,"Towne, Mante and Aufderhar",362457687,1989-03-31,architect robust architectures,1989-12-03,CTWu
active,"Gorczany, Kunze and Heller",495587192,1982-06-06,empower leading-edge deliverables,2003-10-17,Bhpb
active,"Trantow, Leannon and Bernhard",169268,1984-04-20,incentivize cross-media e-tailers,1977-05-13,MTYb
inactive,"Fay, Kuvalis and Schiller",1974942,1997-11-25,mesh 24/7 content,2005-03-28,yzVR
active,Huel-Harris,5,2015-12-29,reinvent vertical systems,1984-08-13,UsTM
active,"Vandervort, Kerluke and Hoppe",274434,1995-02-27,utilize 24/7 web-readiness,1994-04-10,KEZS
inactive,"Jerde, Lesch and Bogan",756,1981-04-02,facilitate cross-platform content,1983-06-25,vvMq
active,"Strosin, Goyette and Veum",0,2010-09-18,facilitate 24/365 e-commerce,1972-09-08,syVi
active,Ward and Sons,0,1998-05-09,aggregate customized action-items,1984-05-13,lPNZ
inactive,"Ullrich, Bode and Rohan",29700578,1975-09-14,enable ubiquitous e-commerce,1978-03-27,wrTb
inactive,Homenick-Moore,5248872,1993-09-03,implement e-business systems,1979-01-08,EcKz
active,Smith-McClure,9,2011-11-20,enhance world-class infrastructures,1992-12-07,fFgo
inactive,Strosin and Sons,3819397,2011-07-18,exploit B2B content,2006-01-24,xFWi
active,O'Connell-Batz,0,1971-03-24,integrate viral markets,1984-01-31,yZHf
inactive,Dicki and Sons,0,1998-08-13,revolutionize proactive e-commerce,1995-12-09,HGQE
inactive,"Steuber, Berge and Bergstrom",1232283,2006-03-17,incentivize leading-edge portals,1993-09-21,TnrM
inactive,Wyman-Bradtke,5371097,1978-12-07,empower innovative functionalities,2012-02-16,STIp
inactive,Haag-Kilback,0,1997-03-27,engineer intuitive networks,1972-02-23,DmwJ
inactive,Cartwright-Dooley,30335574,1972-03-14,benchmark value-added deliverables,2014-12-01,mVrT
inactive,"Sauer, McGlynn and Bayer",581049,2002-09-26,strategize B2B architectures,1977-09-03,Hobx
active,"Fahey, Crooks and Harber",83009,1995-09-06,deploy mission-critical markets,1979-10-30,FvyC
inactive,Upton-Cole,8760519,1980-07-01,evolve best-of-breed solutions,1984-12-31,iiPo
active,Schimmel PLC,63105,1978-05-24,mesh visionary channels,1991-11-03,LZwF
inactive,"Williamson, Stoltenberg and Heathcote",364807822,2007-09-27,facilitate enterprise technologies,2012-10-06,pmsz
inactive,Considine PLC,27484917,1992-11-10,reinvent end-to-end ROI,1987-10-14,mjkW
active,"Kris, Greenholt and Weissnat",511,1997-08-26,brand collaborative info-mediaries,1973-02-25,CgzS
active,Homenick-Rau,611475,2013-12-27,strategize open-source infrastructures,2004-02-19,rYaW
active,Wiza-Murazik,970,1992-02-23,empower bleeding-edge vortals,1975-02-20,NFPe
active,Donnelly-Funk,86,2001-11-22,transition transparent infrastructures,2003-09-23,GuqR
inactive,"Davis, Sporer and Stamm",0,1976-02-05,deploy turn-key bandwidth,1996-09-06,nhPP
inactive,"Powlowski, Cassin and Hackett",83843594,2012-02-06,enhance extensible e-commerce,2004-04-09,ekxy
active,Kilback Inc,8849122,1983-01-16,drive dynamic markets,2008-08-27,NOHZ
inactive,Zboncak-Torp,932,2007-05-14,transform impactful architectures,1989-07-14,lctj
active,"Littel, Kling and O'Conner",691646098,1991-02-04,implement B2B e-tailers,2006-02-16,PVlO
active,Schimmel Ltd,5243,2015-07-11,matrix best-of-breed functionalities,1989-09-30,wLgc
active,Barrows Inc,71724651,1978-07-18,leverage world-class e-business,1987-06-29,QGiN
active,"Brekke, Schowalter and Gulgowski",355,1997-09-30,re-intermediate compelling applications,1977-03-24,XeUN
inactive,Wilderman-West,0,1992-08-23,disintermediate real-time systems,1974-11-21,EqtS
active,Ratke PLC,6,1992-03-17,benchmark cross-platform vortals,1986-05-06,nCRE
active,Kuhn-Fahey,3442027,1999-02-04,envisioneer B2C e-services,1989-10-04,bVyk
inactive,Kiehn-Bosco,63299,1991-07-27,leverage mission-critical methodologies,2005-09-16,JvdN
active,"Hudson, Bashirian and Greenfelder",524241355,2013-11-02,redefine leading-edge supply-chains,1978-10-28,LuoL
inactive,Borer-Prosacco,5039003,1971-06-24,cultivate web-enabled metrics,2009-03-05,NcMG
active,Frami Ltd,1271377,1978-02-11,revolutionize cross-platform vortals,2009-08-30,KIDi
active,Herman Ltd,27658,1999-09-21,expedite front-end experiences,2010-07-12,cTJF
inactive,Schoen-Stehr,5807957,1992-05-02,enhance world-class web services,2009-04-12,lmDP
active,Kertzmann Group,88172747,1991-11-17,utilize e-business relationships,1998-02-16,ozlw
active,Tromp Inc,0,1982-06-11,seize customized synergies,1976-08-05,vozD
active,Anderson Inc,5,1972-02-28,strategize seamless systems,2014-12-04,Flnh
inactive,"Huels, Langosh and Macejkovic",60,1977-04-27,brand integrated applications,1998-01-27,ApeG
inactive,Zulauf Inc,1498720,2005-10-06,envisioneer out-of-the-box synergies,2002-06-08,mdlL
active,Turner Group,257695301,1982-03-15,seize granular web services,1995-08-15,habl
inactive,Anderson-Turcotte,4747677,1975-01-27,repurpose turn-key initiatives,1996-05-04,oZmp
active,Stehr Ltd,580142,1978-06-09,strategize vertical synergies,1999-05-07,gPxc
active,"Jenkins, McLaughlin and Sawayn",9375410,2013-05-02,generate vertical e-tailers,1976-02-26,uiUG
inactive,Klocko-Greenfelder,654206,1970-01-28,drive B2B e-services,2008-04-22,Fkib
inactive,Nienow-Predovic,175990,1983-10-20,expedite wireless convergence,2013-02-25,Ehtc
active,"O'Hara, Beer and Schmitt",441635,1995-02-06,redefine global web-readiness,2015-05-23,yqcc
active,Lowe and Sons,85552,1993-01-02,incentivize back-end initiatives,2014-06-04,MZUJ
inactive,"Hamill, Grant and Heller",3,1987-05-11,enhance cross-platform e-services,2008-07-26,xxep
active,"Funk, Rau and Armstrong",8276,1972-09-21,grow global schemas,1999-10-23,LgWo
active,Williamson Group,343741289,1986-01-05,extend B2B e-tailers,2012-03-29,MLdB
active,"Schuster, O'Kon and Brekke",200546718,1980-10-09,target leading-edge bandwidth,1972-12-17,YnpS
inactive,Quigley LLC,0,1984-04-26,transform world-class action-items,1990-06-01,VXrP
active,"Sipes, Kerluke and Ankunding",3,2013-05-19,embrace mission-critical architectures,2007-04-02,FuIn
active,Block-Fisher,914477043,1998-10-14,iterate 24/365 bandwidth,1975-08-11,IpBt
inactive,Mann LLC,411,2015-09-29,engineer open-source metrics,1992-03-09,gWun
active,McClure and Sons,55809902,1977-10-04,matrix impactful action-items,2012-08-02,eKMs
active,Streich-Leffler,0,1995-07-08,aggregate rich paradigms,1989-01-27,oFxP
active,"Osinski, Mayer and Hammes",0,2009-04-06,grow rich supply-chains,1987-09-04,APdQ
active,Padberg-Hirthe,282205,1991-06-22,re-contextualize intuitive mindshare,1974-05-23,TtaK
active,Jaskolski PLC,39381,1986-01-27,engage bleeding-edge e-markets,1987-07-11,sOgw
inactive,Jones Inc,48,2009-11-25,optimize scalable initiatives,1984-02-14,aVkh
inactive,Olson and Sons,1100278,2012-08-15,exploit open-source convergence,1975-10-04,gqiG
inactive,Koss-Bosco,0,2006-12-09,redefine next-generation web services,1986-02-14,TsKc
active,"Koepp, Weimann and Dare",0,2013-05-16,repurpose collaborative action-items,1994-05-07,EWyB
active,Robel and Sons,0,2009-02-28,leverage plug-and-play supply-chains,1991-06-26,rNWa
inactive,Krajcik-Mosciski,0,1972-10-12,exploit dynamic synergies,1980-11-04,AVTl
inactive,Stokes Inc,8191695,1996-04-01,benchmark end-to-end communities,1991-06-02,csdv
active,"Reynolds, Grimes and Brekke",339666844,2008-04-13,monetize wireless e-markets,1976-01-04,HuYE
active,Trantow-Hilpert,21895,2008-07-08,productize back-end e-business,1986-12-10,gENr
active,Raynor PLC,366768623,2013-10-07,architect open-source solutions,1995-04-23,GoLz
inactive,"Corkery, Harber and Huels",755454594,1987-04-21,transform world-class systems,1979-06-16,HAKV
inactive,Abernathy and Sons,20,1995-06-03,brand impactful relationships,1999-12-30,heng
inactive,West Ltd,0,1994-01-23,reinvent scalable e-markets,1976-05-29,IDUp
